id,descriptor_id,descriptor_en,reference,how_to_prepare,suggested_brands
21,2,Berry,“Le Nez du Vin” – Vial #12: Strawberry,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Vin”
22,2,Berry,Scentone T100 – Vial # 15: Strawberry,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",“Scentone” T100
23,2,Berry,Blackberry syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
24,2,Berry,Raspberry syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
25,2,Berry,"""Le Nez du Café"" (2025, 60 vials) - Vial #5: Raspberry","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
26,2,Berry,"""Le Nez du Café"" (2025, 60 vials) - Vial #6: Blueberry","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
27,2,Berry,"""Le Nez du Café"" (2025, 60 vials) - Vial #8: Strawberry","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
28,7,Dried Fruit,Raisins and Prunes,¼ cup dry raisins and ¼ cup dry prunes chopped. Add ¾ cup water and cook in microwave on high for 2 minutes. Filter liquid with sieve. Place in a glass or plastic cup and cover.,Sun-Maid
29,7,Dried Fruit,Prune Juice,Dilute 1 part juice to 2 parts water. Bring to room temperature for serving. Place in a glass or plastic cup and cover.,Sunsweet
30,7,Dried Fruit,"""Le Nez du Café"" (2025, 60 vials): Vial #9: Raisin","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
31,7,Dried Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #10: Prune","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
32,19,Citrus Fruit,Peels of Lemon and Lime,Place 0.5 grams of lemon peel and 0.5 grams of lime peel in a plastic or glass cup and cover.,
33,19,Citrus Fruit,“Le Nez du Café Revelation” (36 vials) – Vial # 15: Lemon,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
34,19,Citrus Fruit,Scentone T100 – Vial # 26: Lemon,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",“Scentone” T100
35,19,Citrus Fruit,Scentone T100 – Vial # 28: Lime,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",“Scentone” T100
36,19,Citrus Fruit,Lemon syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
37,19,Citrus Fruit,Citrus oils/Lemon oil,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","Salvia Oil, Nature’s Oil, Young Living/DoTerra Citrus or Lemon Essential Oil"
38,19,Citrus Fruit,Lime syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
39,19,Citrus Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #18: Orange","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
40,19,Citrus Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #19: Lemon","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
41,19,Citrus Fruit,"""Le Nez du Café"" (2025, 60 vials) - Vial #20: Lime","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
42,19,Citrus Fruit,The Coffee Sensorium Flavour Kit - Vial #189: Lemon,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
43,19,Citrus Fruit,The Coffee Sensorium Flavour Kit - Vial #917: Orange,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
44,35,Fermented,Beer,Place in a glass or plastic cup and cover.,"Guinness, or a stout or similar beer without hop aroma"
45,35,Fermented,Fermented grass,Fill 2-ounce glass jars half full with grass and seal tightly with screw-on lids. Leave in airtight container for 2 weeks to ferment. Serve in jar.,
46,35,Fermented,"""Le Nez du Café"" (2025, 60 vials) - Vial #22: Winey","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
47,35,Fermented,"FlavorActiV ""fermented"" (ethyl isovalerate)",Prepare according to FlavorActiV package instructions.,FlavorActiv
48,37,Green/Vegetative,Parsley water,Rinse and chop 25 grams of fresh parsley. Add 300mL of water and let sit for 15 minutes. Filter out the parsley. Serve one tablespoon of the water in a glass or plastic cup.,
49,37,Green/Vegetative,“Le Nez du Café Revelation” (36 vials) – Vial #3: Garden Peas,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
50,37,Green/Vegetative,“Le Nez du Café Revelation” (36 vials) – Vial #4: Cucumber,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
51,37,Green/Vegetative,Scentone T100 – Vial #91: Cucumber,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
52,37,Green/Vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #24: Peapod","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
53,37,Green/Vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #25: Grass (Fresh)","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
54,37,Green/Vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #26: Cucumber","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
55,37,Green/Vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #27: Green (Bell) Pepper","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
56,37,Green/Vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #28: Hay-like","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
57,37,Green/Vegetative,"""Le Nez du Café"" (2025, 60 vials) - Vial #29: Thyme","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
58,37,Green/Vegetative,The Coffee Sensorium Flavour Kit - Vial #061: Fresh Peas,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
59,37,Green/Vegetative,The Coffee Sensorium Flavour Kit - Vial #376: Cucumber,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
60,37,Green/Vegetative,The Coffee Sensorium Flavour Kit - Vial #819: Underripe,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
61,37,Green/Vegetative,"FlavorActiV “under-ripe fruit"" (acetaldehyde)",Prepare according to FlavorActiV package instructions.,FlavorActiv
62,37,Green/Vegetative,"FlavorActiV “freshly cut grass"" (cis-3-hexanol)",Prepare according to FlavorActiV package instructions.,FlavorActiv
63,50,Musty/Earthy,Commercial potting soil,"Put 20g potting soil in a plastic or glass cup, cover.",Miracle-gro potting soil
64,50,Musty/Earthy,“Le Nez du Café Revelation” (36 vials) – Vial # 1: Earthy,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
65,50,Musty/Earthy,Scentone T100 – Vial #92 - Mushroom,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
66,50,Musty/Earthy,"""Le Nez du Café"" (2025, 60 vials) - Vial #35; Moldy/Damp","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
67,50,Musty/Earthy,"""Le Nez du Café"" (2025, 60 vials) - Vial #36: Musty/Earthy","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
68,50,Musty/Earthy,"FlavorActiV “wet earthy"" (2-ethyl fenchol)",Prepare according to FlavorActiV package instructions.,FlavorActiv
69,50,Musty/Earthy,"FlavorActiV “dry earth"" (geosmin)",Prepare according to FlavorActiV package instructions.,FlavorActiv
70,50,Musty/Earthy,"FlavorActiV “moldy-damp"" (2, 4, 6 trichloroanisole)",Prepare according to FlavorActiV package instructions.,FlavorActiv
71,53,Woody,Popsicle sticks,Break popsicle sticks to fit in sample cups of any size. Cover with a plastic lid. This may be prepared in advance.,
72,53,Woody,"""Le Nez du Café"" (2025, 60 vials) - Vial #33: Cardboard","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
73,53,Woody,"""Le Nez du Café"" (2025, 60 vials) - Vial #34: Woody","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
74,53,Woody,"FlavorActiV “papery""(trans-2-nonenal)",Prepare according to FlavorActiV package instructions.,FlavorActiv
75,57,Roasted,Dark Roasted Coffee (Agtron #35),Place ground coffee in a plastic or glass cup and cover.,
76,57,Roasted,“Le Nez du Café Revelation” (36 vials) – Vial # 34: Roasted coffee,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
77,57,Roasted,"Scentone T100 – Vial #50, Roasted Coffee Bean","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
78,58,Tobacco,Cigarettes,Break cigarette and place 0.1 g tobacco in a medium snifter. Cover.,"Camel (Turkish and Domestic blends), Marlboro, Pall Mall"
79,58,Tobacco,Scentone T100 – Vial #33: Pipe tobacco,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
80,58,Tobacco,"""Le Nez du Café"" (2025, 60 vials) - Vial #41: Tobacco","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
81,60,Burnt,Scentone T100 – Vial #49: Burnt rice,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
82,60,Burnt,Burnt peanuts,"Preheat oven to 220°C. Place raw, blanched peanuts in a single layer on a baking sheet lined with parchment paper. Roast for 20 minutes. Peanuts will be burnt. Place 1 tablespoon in a medium snifter. Cover.",
83,60,Burnt,"""Le Nez du Café"" (2025, 60 vials) - Vial #42: Smoky","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
84,64,Roasted,Dark Roasted Coffee (Agtron #35),Place ground coffee in a plastic or glass cup and cover.,
85,64,Roasted,“Le Nez du Café Revelation” (36 vials) – Vial # 34: Roasted coffee,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
86,64,Roasted,"Scentone T100 – Vial #50, Roasted Coffee Bean","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.","""Scentone” T100"
87,74,Nutty,"Almonds and Walnuts, chopped","Chop the almonds and walnuts separately in blenders for 45 seconds. Combine equal amounts of the chopped nuts. Put approx. 30 g. in a plastic or glass cup, cover.","Diamond sliced almonds, Diamond shelled walnuts"
88,74,Nutty,Roasted hazelnuts,Place roasted hazelnuts in a glass or plastic cup and cover.,
89,74,Nutty,“Le Nez du Café Revelation” (36 vials) – Vial # 29: Roasted Hazelnut,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
90,74,Nutty,"Scentone T100 – Vial #40, Hazelnut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Scentone” T100
91,74,Nutty,Almond syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
92,74,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #51: Peanut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
93,74,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #52: Hazelnut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
94,74,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #53: Almond","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
95,74,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #54: Walnut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
96,74,Nutty,The Coffee Sensorium Flavour Kit - Vial #632: Roasted Hazelnuts,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
97,74,Nutty,"FlavorActiV “almond"" (benzaldehyde)",Prepare according to FlavorActiV package instructions.,FlavorActiv
98,75,Nutty,"Almonds and Walnuts, chopped","Chop the almonds and walnuts separately in blenders for 45 seconds. Combine equal amounts of the chopped nuts. Put approx. 30 g. in a plastic or glass cup, cover.","Diamond sliced almonds, Diamond shelled walnuts"
99,75,Nutty,Roasted hazelnuts,Place roasted hazelnuts in a glass or plastic cup and cover.,
100,75,Nutty,“Le Nez du Café Revelation” (36 vials) – Vial # 29: Roasted Hazelnut,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
101,75,Nutty,"Scentone T100 – Vial #40, Hazelnut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Scentone” T100
102,75,Nutty,Almond syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
103,75,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #51: Peanut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
104,75,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #52: Hazelnut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
105,75,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #53: Almond","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
106,75,Nutty,"""Le Nez du Café"" (2025, 60 vials) - Vial #54: Walnut","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
107,75,Nutty,The Coffee Sensorium Flavour Kit - Vial #632: Roasted Hazelnuts,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
108,75,Nutty,"FlavorActiV “almond"" (benzaldehyde)",Prepare according to FlavorActiV package instructions.,FlavorActiv
109,79,Cocoa,Natural unsweetened cocoa powder,"Mix ¼ teaspoon with 100mL water in a glass or plastic container, cover.",Hershey’s Cocoa Powder
110,79,Cocoa,“Le Nez du Café Revelation” (36 vials) – Vial #26: Dark Chocolate,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
111,79,Cocoa,Scentone T100 – Vial #56: Dark Chocolate,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Scentone” T100
112,79,Cocoa,"""Le Nez du Café"" (2025, 60 vials) - Vial #55: Dark Chocolate","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
113,79,Cocoa,"""Le Nez du Café"" (2025, 60 vials) - Vial #56: Chocolate","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
114,79,Cocoa,The Coffee Sensorium Flavour Kit - Vial #292: Chocolate,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
115,80,Cocoa,Natural unsweetened cocoa powder,"Mix ¼ teaspoon with 100mL water in a glass or plastic container, cover.",Hershey’s Cocoa Powder
116,80,Cocoa,“Le Nez du Café Revelation” (36 vials) – Vial #26: Dark Chocolate,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
117,80,Cocoa,Scentone T100 – Vial #56: Dark Chocolate,"One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Scentone” T100
118,80,Cocoa,"""Le Nez du Café"" (2025, 60 vials) - Vial #55: Dark Chocolate","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
119,80,Cocoa,"""Le Nez du Café"" (2025, 60 vials) - Vial #56: Chocolate","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
120,80,Cocoa,The Coffee Sensorium Flavour Kit - Vial #292: Chocolate,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
121,87,Brown Sugar,"Brown Sugar (Muscovado, Turbinado)",Place one teaspoon brown sugar in a glass or cup and cover.,C&H Light Brown Sugar
122,87,Brown Sugar,"“Le Nez du Café Revelation” (36 vials) – Vial #25, Caramel",One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Cafe” Revelations Edition (36 Aromas)
123,87,Brown Sugar,"Scentone T100 – Vial #52, Brown Sugar",One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
124,87,Brown Sugar,"Scentone T100 – Vial #51, Caramel",One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
125,87,Brown Sugar,Caramel syrup,Place in a glass or plastic cup and cover.,"Monin, Torani, DaVinci Gourmet"
126,87,Brown Sugar,"""Le Nez du Café"" (2025, 60 vials) - Vial #57: Brown Sugar","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
127,87,Brown Sugar,"""Le Nez du Café"" (2025, 60 vials) - Vial #58: Maple Syrup","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
128,87,Brown Sugar,"""Le Nez du Café"" (2025, 60 vials) - Vial #59: Caramelized","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
129,87,Brown Sugar,The Coffee Sensorium Flavour Kit - Vial #594: Caramelized Sugar,"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
130,94,Floral,Jasmine Green Tea,"Remove tea from bag, place one tea bag or 1 teaspoon in a plastic or glass cup and cover. Steep for 5 minutes and remove bag.","Bigelow Jasmine Green Tea, Twinings Jasmine Green Tea, Numi Jasmine Green Tea, Rika’s classic Te de Jazmin, Pique Green Jasmine Tea"
131,94,Floral,“Le Nez du Café Revelation” (36 vials) – Vial #12:  Coffee Blossom,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
132,94,Floral,Scentone T100 –  Vial #68,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
133,94,Floral,Carnation Oil,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,"Salvia Carnation Oil, Nature’s Oil Floral Carnation Oil, Young Living/DoTerra Carnation Essential Oil"
134,94,Floral,White Grape Juice,Place juice in a plastic or glass cup and cover.,Welch’s White Grape Juice
135,94,Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #2: Black Tea","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
136,94,Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #3: Rose","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
137,94,Floral,"""Le Nez du Café"" (2025, 60 vials) - Vial #4: Jasmine","One drop of oil on a cotton ball, place in a plastic or glass cup and cover.",Jean Lenoir “Le Nez du Cafe” 2025 Edition (60 Aromas)
138,94,Floral,The Coffee Sensorium Flavour Kit - Vial #875: Floral (Sweet),"Option 1: sniff directly from vial. Option 2: 4 drops in 20 mL water. Option 3: follow package instructions (4 drops in 30 mL filtered, neutral coffee.","Coffee Flavour Kit, by The Coffee Sensorium , in collaboration with the Federal University of Minas Gerais (UFMG)"
139,94,Floral,"FlavorActiV “rose/floral"" (geraniol)",Prepare according to FlavorActiV package instructions.,FlavorActiv
140,94,Floral,FlavorActiV “indole”,Prepare according to FlavorActiV package instructions.,FlavorActiv
141,95,Floral,Jasmine Green Tea,"Remove tea from bag, place one tea bag or 1 teaspoon in a plastic or glass cup and cover. Steep for 5 minutes and remove bag.","Bigelow Jasmine Green Tea, Twinings Jasmine Green Tea, Numi Jasmine Green Tea, Rika’s classic Te de Jazmin, Pique Green Jasmine Tea"
142,95,Floral,“Le Nez du Café Revelation” (36 vials) – Vial #12:  Coffee Blossom,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,Jean Lenoir “Le Nez du Café” Revelations Edition (36 Aromas)
143,95,Floral,Scentone T100 –  Vial #68,One drop of oil on a cotton ball; place in a plastic or glass cup and cover.,“Scentone” T100
